supplier_article;supplier_name;price;site_sku;notes
2305;"Тундра 14 закрытая каменка конвекция";663.00;;
2306;"Тундра 14 стекло закрытая каменка конвекция";748.80;;
2307;"Тундра 16 закрытая каменка конвекция";791.70;;
2308;"Тундра 16 стекло закрытая каменка конвекция";877.50;;
107;"Оптима 12 ДТ-3 сетка";612.30;;
108;"Оптима 12 ДТ-3 стекло сетка";686.40;;
109;"Оптима 15 ДТ-3 Сетка";893.10;;
110;"Оптима 15 (ДТ-3 стекло) Сетка";967.20;;
111;"Оптима 24 ДТ-3 Сетка";1017.90;;
112;"Оптима 24 (ДТ-3 стекло) Сетка";1088.10;;
207;"Корвет 15 (сетчатый кожух)";1134.90;;
208;"Корвет 15 (сетчатый кожух, ДТ-3 стекло)";1205.10;;
209;"Корвет 24 (сетчатый кожух)";1279.20;;
210;"Корвет 24 (сетчатый кожух, ДТ-3 стекло)";1349.40;;
311;"Теплообменник в камеру сгорания под заказ в печь с сеткой!";230.10;;
305;"Берёзка 15 ДТ-4";1185.60;;
311;"Теплообменник в камеру сгорания берёзка/фаворит/флагман,витязь/викинг";198.90;;
307;"Бак 35л. ""Березка 15""";312.00;;
310;"Берёзка 24 ДТ-4";1528.80;;
311;"Теплообменник в камеру сгорания берёзка/фаворит/флагман,витязь/викинг";198.90;;
312;"Бак 50л. ""Березка 24""";351.00;;
401;"Печь-камин ""Фаворит"" 15 Д-2";1560.00;;
404;"Печь-камин ""Фаворит"" 15 Д-1";1696.50;;
311;"Теплообменник в камеру сгорания берёзка/фаворит/флагман,витязь/викинг";198.90;;
307;"Бак 35л. ""Фаворит 15""";312.00;;
405;"Печь-камин ""Фаворит"" 24 Д-2";1860.30;;
402;"Печь-камин ""Фаворит"" 24 Д-1";1992.90;;
311;"Теплообменник в камеру сгорания берёзка/фаворит/флагман,витязь/викинг";198.90;;
312;"Бак 50л. ""Фаворит 24""";351.00;;
1805;"Печь чугунная для бани ""Воевода"" 15 Лайт (ДТ-4 Сетка)";1329.90;;
1806;"Печь чугунная для бани ""Воевода"" 20 Лайт (ДТ-4 Сетка)";1540.50;;
634;"Печь чугунная для бани ""Воевода"" 15 ДТ-4 (без сетки под обкладку)";1333.80;;
603;"Печь-камин чугунная для бани ""Воевода"" 15 Д-2 (без сетки под обкладку)";1548.30;;
638;"Печь-камин чугунная для бани ""Воевода"" 15 Д-1 (без сетки под обкладку)";1747.20;;
639;"Печь-камин чугунная для бани ""Воевода-ФЛАГМАН"" 15 (без сетки под обкладку)";1782.30;;
635;"Печь чугунная для бани ""Воевода"" 15 (ДТ-4 Сетч.кожух)";1411.80;;
606;"Печь-камин  чугунная для бани ""Воевода"" 15 Д-2 Сетч.кожух";1680.90;;
640;"Печь-камин  чугунная для бани ""Воевода"" 15 Д-1 Сетч.кожух";1879.80;;
641;"Печь-камин  чугунная для бани ""Воевода-ФЛАГМАН"" 15 Сетч.кожух";1911.00;;
612;"Печь чугунная для бани ""Воевода"" 20 ДТ-4 (без сетки под обкладку)";1622.40;;
613;"Печь-камин чугунная для бани ""Воевода"" 20 Д-2 (без сетки под обкладку)";1821.30;;
644;"Печь-камин чугунная для бани ""Воевода"" 20 Д-1 (без сетки под обкладку)";2024.10;;
614;"Печь-камин чугунная для бани ""Воевода-ФЛАГМАН"" 20 (без сетки под обкладку)";2055.30;;
617;"Печь чугунная для бани ""Воевода"" 20 (ДТ-4 Конвектор)";1735.50;;
618;"Печь-камин  чугунная для бани ""Воевода"" 20 Д-2 Конвектор";1938.30;;
645;"Печь-камин  чугунная для бани ""Воевода"" 20 Д-1 Конвектор";2137.20;;
619;"Печь-камин  чугунная для бани ""Воевода-ФЛАГМАН"" 20 Конвектор";2168.40;;
622;"Печь чугунная для бани ""Воевода"" 20 (ДТ-4 Сетч.кожух)";1700.40;;
623;"Печь-камин  чугунная для бани ""Воевода"" 20 Д-2 Сетч.кожух";1899.30;;
646;"Печь-камин  чугунная для бани ""Воевода"" 20 Д-1 Сетч.кожух";2102.10;;
624;"Печь-камин  чугунная для бани ""Воевода-ФЛАГМАН"" 20 Сетч.кожух";2133.30;;
637;"Печь чугунная для бани ""Воевода"" 15 (ДТ-4 Сетч.кожух)   Закрытая Каменка";1817.40;;
627;"Печь-камин  чугунная для бани ""Воевода"" 15 Д-2 Сетч.кожух Закрытая Каменка";2086.50;;
647;"Печь-камин  чугунная для бани ""Воевода"" 15 Д-1 Сетч.кожух Закрытая Каменка";2285.40;;
648;"Печь-камин  чугунная для бани ""Воевода-ФЛАГМАН"" 15 Сетч.кожух Закрытая Каменка";2316.60;;
630;"Печь чугунная для бани ""Воевода"" 20 (ДТ-4 Сетч.кожух) ЗАКРЫТАЯ КАМЕНКА";2363.40;;
631;"Печь-камин  чугунная для бани ""Воевода"" 20 Д-2 Сетч.кожух Закрытая Каменка";2577.90;;
649;"Печь-камин  чугунная для бани ""Воевода"" 20 Д-1 Сетч.кожух Закрытая Каменка";2800.20;;
632;"Печь-камин  чугунная для бани ""Воевода-ФЛАГМАН"" 20 Сетч.кожух Закрытая Каменка";2831.40;;
650;"Печь чугунная для бани ""Воевода"" 20 ГАЗ (без сетки под обкладку) 

NEW";2441.40;;
651;"Печь чугунная для бани ""Воевода"" 20 ГАЗ Конвектор

NEW";2558.40;;
652;"Печь чугунная для бани ""Воевода"" 20 ГАЗ Сетч.кожух  

NEW";2519.40;;
653;"Печь чугунная для бани ""Воевода"" 20 ГАЗ Сетч.кожух Закрытая Каменка

NEW";3186.30;;
803;"Печь ""Викинг"" 15 (сетчатый кожух, ДТ-4)";1396.20;;
804;"Печь-камин ""Викинг"" 15 Д-2 (сетчатый кожух)";1696.50;;
809;"Печь-камин ""Викинг"" 15 Д-1 (сетчатый кожух)";1762.80;;
807;"Печь ""Викинг"" 24 (сетчатый кожух, ДТ-4)";1774.50;;
810;"Печь-камин ""Викинг"" 24 Д-2 (сетчатый кожух)";2086.50;;
808;"Печь-камин ""Викинг"" 24 Д-1 (сетчатый кожух)";2156.70;;
